geo,year,country,recycling_rate,waste_generated_kg_pc,landfill_kg_pc,incineration_kg_pc,material_recycling_kg_pc,compost_digest_kg_pc,circular_material_use_rate,resource_productivity,environmental_tax_gdp,gdp_pc_eur,household_consumption_pc_eur,population_density,landfill_rate_proxy,incineration_rate_proxy,material_recycling_rate_proxy,compost_digest_rate_proxy,recycling_rate_lag1,recycling_rate_lag2,waste_generated_kg_pc_lag1,waste_generated_kg_pc_lag2,landfill_rate_proxy_lag1,landfill_rate_proxy_lag2,incineration_rate_proxy_lag1,incineration_rate_proxy_lag2,material_recycling_rate_proxy_lag1,material_recycling_rate_proxy_lag2,compost_digest_rate_proxy_lag1,compost_digest_rate_proxy_lag2,circular_material_use_rate_lag1,circular_material_use_rate_lag2,resource_productivity_lag1,resource_productivity_lag2,environmental_tax_gdp_lag1,environmental_tax_gdp_lag2,gdp_pc_eur_lag1,gdp_pc_eur_lag2,household_consumption_pc_eur_lag1,household_consumption_pc_eur_lag2,population_density_lag1,population_density_lag2,recycling_rate_trend_3y,landfill_rate_trend_3y,incineration_rate_trend_3y,ec_eea_2025_risk_label
AT,2005,Austria,58.3,575.0,65.0,159.0,143.0,192.0,,1.8427,2.59,30680,16390,99.8,11.304347826086957,27.652173913043477,24.869565217391305,33.391304347826086,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
AT,2006,Austria,59.2,597.0,59.0,173.0,152.0,201.0,,1.8722,2.46,32160,16980,100.3,9.882747068676716,28.97822445561139,25.4606365159129,33.66834170854271,58.3,,575.0,,11.304347826086957,,27.652173913043477,,24.869565217391305,,33.391304347826086,,,,1.8427,,2.59,,30680.0,,16390.0,,99.8,,,,,0
AT,2007,Austria,60.2,597.0,51.0,175.0,159.0,200.0,,1.913,2.46,34020,17550,100.6,8.542713567839195,29.31323283082077,26.633165829145728,33.50083752093802,59.2,58.3,597.0,575.0,9.882747068676716,11.304347826086957,28.97822445561139,27.652173913043477,25.4606365159129,24.869565217391305,33.66834170854271,33.391304347826086,,,1.8722,1.8427,2.46,2.59,32160.0,30680.0,16980.0,16390.0,100.3,99.8,,,,0
AT,2008,Austria,63.2,600.0,45.0,163.0,177.0,202.0,,1.9908,2.4,35070,18040,100.9,7.5,27.166666666666668,29.5,33.666666666666664,60.2,59.2,597.0,597.0,8.542713567839195,9.882747068676716,29.31323283082077,28.97822445561139,26.633165829145728,25.4606365159129,33.50083752093802,33.66834170854271,,,1.913,1.8722,2.46,2.46,34020.0,32160.0,17550.0,16980.0,100.6,100.3,1.6333333333333353,-1.2681159420289856,-0.1618357487922696,0
AT,2009,Austria,61.9,590.0,36.0,173.0,179.0,186.0,,2.0561,2.4,34320,18210,101.2,6.101694915254237,29.322033898305083,30.338983050847457,31.52542372881356,63.2,60.2,600.0,597.0,7.5,8.542713567839195,27.166666666666668,29.31323283082077,29.5,26.633165829145728,33.666666666666664,33.50083752093802,,,1.9908,1.913,2.4,2.46,35070.0,34020.0,18040.0,17550.0,100.9,100.6,0.8999999999999986,-1.260350717807493,0.11460314756456451,0
AT,2010,Austria,59.4,562.0,18.0,196.0,152.0,182.0,6.8,2.081,2.4,35170,18720,101.5,3.202846975088968,34.87544483985765,27.04626334519573,32.38434163701068,61.9,63.2,590.0,600.0,6.101694915254237,7.5,29.322033898305083,27.166666666666668,30.338983050847457,29.5,31.52542372881356,33.666666666666664,,,2.0561,1.9908,2.4,2.4,34320.0,35070.0,18210.0,18040.0,101.2,100.9,-0.2666666666666681,-1.7799555309167425,1.8540706696789602,0
AT,2011,Austria,56.7,573.0,27.0,200.0,137.0,188.0,6.9,2.0209,2.51,36740,19450,101.8,4.712041884816754,34.904013961605585,23.909249563699827,32.80977312390925,59.4,61.9,562.0,590.0,3.202846975088968,6.101694915254237,34.87544483985765,29.322033898305083,27.04626334519573,30.338983050847457,32.38434163701068,31.52542372881356,6.8,,2.081,2.0561,2.4,2.4,35170.0,34320.0,18720.0,18210.0,101.5,101.2,-2.1666666666666665,-0.9293193717277486,2.579115764979639,0
AT,2012,Austria,57.7,579.0,25.0,201.0,139.0,196.0,7.9,2.1426,2.51,37570,19940,102.3,4.317789291882556,34.715025906735754,24.006908462867013,33.85146804835924,56.7,59.4,573.0,562.0,4.712041884816754,3.202846975088968,34.904013961605585,34.87544483985765,23.909249563699827,27.04626334519573,32.80977312390925,32.38434163701068,6.9,6.8,2.0209,2.081,2.51,2.4,36740.0,35170.0,19450.0,18720.0,101.8,101.5,-1.3999999999999986,-0.5946352077905604,1.7976640028102235,0
AT,2013,Austria,57.7,578.0,23.0,202.0,142.0,192.0,9.1,2.1832,2.56,37890,20160,102.9,3.9792387543252596,34.94809688581315,24.567474048442907,33.21799307958477,57.7,56.7,579.0,573.0,4.317789291882556,4.712041884816754,34.715025906735754,34.904013961605585,24.006908462867013,23.909249563699827,33.85146804835924,32.80977312390925,7.9,6.9,2.1426,2.0209,2.51,2.51,37570.0,36740.0,19940.0,19450.0,102.3,101.8,-0.5666666666666652,0.2587972597454306,0.024217348651833486,0
AT,2014,Austria,56.3,565.0,23.0,205.0,144.0,175.0,9.9,2.1467,2.62,38640,20390,103.7,4.070796460176991,36.283185840707965,25.486725663716815,30.97345132743363,57.7,57.7,578.0,579.0,3.9792387543252596,4.317789291882556,34.94809688581315,34.715025906735754,24.567474048442907,24.006908462867013,33.21799307958477,33.85146804835924,9.1,7.9,2.1832,2.1426,2.56,2.51,37890.0,37570.0,20160.0,19940.0,102.9,102.3,-0.13333333333333522,-0.213748474879921,0.4597239597007932,0
