model,horizon,feature_set,n,rmse,mae,r2,rank_corr,bias
ElasticNet,1,leakage_stress,216,4.176588822739835,3.0114453157533996,0.9204131469647574,0.9519777275345596,-0.6920750519596082
Ridge,1,leakage_stress,216,4.159681044613653,3.034313732126134,0.9210562139212619,0.9552422846733339,-0.6375763883477492
XGBoost,1,leakage_stress,216,4.376817648961947,3.1186159787354644,0.9125993233935454,0.9453563268523949,-0.2613779103314432
RandomForest,1,leakage_stress,216,4.491908932545872,3.1768871229322126,0.9079423732511518,0.9416565351215279,-0.7321828105534441
LightGBM,1,leakage_stress,216,4.343648418528388,3.180968741251184,0.9139190165989772,0.9457754857481996,-0.43224749184004296
GradientBoosting,1,leakage_stress,216,4.432252286341528,3.1863417066353263,0.910371354322894,0.9465973983411808,-0.19310169522277038
LastObservation,1,leakage_stress,216,4.788926020161262,3.1907328403488813,0.8953656827536232,0.9436841276399224,-1.7833254329414738
CountryTrend,1,leakage_stress,216,5.4835907804607364,4.087553494727605,0.862808260137349,0.9335508118154411,2.019940325987134
Ridge,1,safe,216,4.110915041596607,3.0153782469016814,0.9228963581394768,0.9562449318047759,-0.7331508341573344
ElasticNet,1,safe,216,4.151600905184925,3.015724691301498,0.9213626110978801,0.9540080284361135,-0.7295535381610029
XGBoost,1,safe,216,4.329555749777125,3.086211199230618,0.9144766781502233,0.9466965636058841,-0.42823850843641464
GradientBoosting,1,safe,216,4.384911414530283,3.1074079096899947,0.9122757756843133,0.9448695740760304,-0.37802885574893136
LightGBM,1,safe,216,4.428896170409993,3.1426905911131673,0.910507037141163,0.9446186310116249,-0.5342356538144659
LastObservation,1,safe,216,4.788926020161262,3.1907328403488813,0.8953656827536232,0.9436841276399224,-1.7833254329414738
RandomForest,1,safe,216,4.494693333802947,3.1944475218465906,0.9078282102884805,0.9414570774083254,-0.8110966233539072
CountryTrend,1,safe,216,5.4835907804607364,4.087553494727605,0.862808260137349,0.9335508118154411,2.019940325987134
LightGBM,2,leakage_stress,216,4.904756866196371,3.6065792406571036,0.8902428411776893,0.9339128126799997,-0.584171307118056
RandomForest,2,leakage_stress,216,5.360765236968343,3.7460890052856297,0.8688852757223717,0.9213910360639934,-0.8762272690467794
XGBoost,2,leakage_stress,216,5.18532043319018,3.7761239643450133,0.8773269714366824,0.9277087847051633,-0.47136981134061423
GradientBoosting,2,leakage_stress,216,5.255908609589139,3.811503406383167,0.8739643229278585,0.9262512549083879,-0.5236631246586708
Ridge,2,leakage_stress,216,5.173947246289425,3.8472305455019074,0.8778645093735031,0.9294669895621395,-0.6267527406696076
ElasticNet,2,leakage_stress,216,5.462286002164843,4.120728496860083,0.8638722205343462,0.9245978397753628,-0.957876551202208
LastObservation,2,leakage_stress,216,6.4438259849029516,4.390284549004787,0.8105539754050849,0.9123572846735994,-2.9838030675233056
CountryTrend,2,leakage_stress,216,6.721375690476039,5.078395782554897,0.79388280172412,0.9234112152308476,3.3410552513821523
LightGBM,2,safe,216,4.988614644859002,3.5975010443196402,0.8864576696858084,0.933385291683291,-0.5926501438682279
GradientBoosting,2,safe,216,5.164644282343611,3.698892518405072,0.8783033235033816,0.9273259449750462,-0.5807045115619507
XGBoost,2,safe,216,5.134011115190545,3.703393823129159,0.879742686441322,0.9298147009188865,-0.49345874962983266
RandomForest,2,safe,216,5.344362076173032,3.8108556990515203,0.869686432050594,0.9226449403744545,-0.9436943266502941
Ridge,2,safe,216,5.124132063827915,3.829143271940958,0.880205048180392,0.9330107874993973,-0.8263112049237231
ElasticNet,2,safe,216,5.375648868745942,4.037339130736509,0.8681562110413847,0.9271836452930897,-0.9678492229001953
LastObservation,2,safe,216,6.4438259849029516,4.390284549004787,0.8105539754050849,0.9123572846735994,-2.9838030675233056
CountryTrend,2,safe,216,6.721375690476039,5.078395782554897,0.79388280172412,0.9234112152308476,3.3410552513821523
