geo,country,recycling_rate,predicted_recycling_rate,predicted_gap,risk_probability,ec_eea_2025_risk_label,severity_class,dominant_bottleneck,top_local_risk_drivers,landfill_rate_proxy,incineration_rate_proxy,material_recycling_rate_proxy,compost_digest_rate_proxy,circular_material_use_rate,resource_productivity,recycling_rate_trend_3y,landfill_rate_trend_3y
RO,Romania,12.4,9.69668120766742,-45.303318792332576,1.0,1,high-gap high-risk,recycling trajectory deficit,recycling_rate_lag1 (-11.83); landfill_rate_proxy_lag1 (-3.97); resource_productivity_lag1 (-3.36),75.73770491803279,5.901639344262295,7.868852459016393,4.590163934426229,1.5,0.3995,0.066666666666667,0.8166778950520239
MT,Malta,17.4,14.6549359444436,-40.3450640555564,0.9999999999999998,1,high-gap high-risk,recycling trajectory deficit,recycling_rate_lag1 (-11.98); landfill_rate_proxy_lag1 (-4.54); population_density_lag1 (-3.25),73.6318407960199,2.6533996683250414,16.915422885572138,0.0,19.5,2.9052,2.166666666666666,-3.0261465259372926
EL,Greece,17.4,17.077574254784803,-37.92242574521519,0.999999999999989,1,high-gap high-risk,recycling trajectory deficit,recycling_rate_lag1 (-10.05); landfill_rate_proxy_lag1 (-4.05); population_density_lag1 (-1.45),80.68833652007648,1.7208413001912046,15.869980879541108,1.338432122370937,5.2,1.7633,-0.2333333333333342,0.1760052929313028
CY,Cyprus,15.8,24.226478365923622,-30.77352163407637,0.9999999997147108,1,high-gap high-risk,recycling trajectory deficit,recycling_rate_lag1 (-10.55); recycling_rate_lag2 (-1.31); recycling_rate_trend_3y (-0.71),61.42208774583964,2.4205748865355523,12.556732223903175,2.723146747352496,5.4,1.4334,-0.3999999999999997,-1.295786169410673
PT,Portugal,30.6,28.968929233050314,-26.03107076694969,0.9999999210642468,1,high-gap high-risk,recycling trajectory deficit,recycling_rate_lag1 (-3.58); incineration_rate_trend_3y (-1.23); circular_material_use_rate_lag1 (-0.69),56.43564356435643,18.217821782178216,13.069306930693068,17.425742574257427,3.0,1.3284,1.2666666666666668,-0.2169902029573052
BG,Bulgaria,16.7,31.45197414425952,-23.548025855740484,0.9999989471374968,1,high-gap high-risk,recycling trajectory deficit,recycling_rate_lag1 (-4.04); resource_productivity_lag1 (-2.87); recycling_rate_lag2 (-0.86),44.285714285714285,3.26530612244898,14.081632653061224,2.4489795918367347,4.9,0.3871,-6.166666666666668,-7.691798941798943
EE,Estonia,37.9,35.33095733334973,-19.66904266665027,0.9999627918340006,1,high-gap high-risk,recycling trajectory deficit,resource_productivity_lag1 (-1.18); recycling_rate_lag2 (-0.99); recycling_rate_lag1 (-0.49),0.5361930294906166,42.62734584450402,28.41823056300268,9.6514745308311,20.5,0.7412,3.0,-4.695072297393467
HR,Croatia,36.0,37.00506858692869,-17.994931413071306,0.9998552443704544,1,high-gap high-risk,recycling trajectory deficit,recycling_rate_lag2 (-1.13); circular_material_use_rate_lag1 (-0.71); household_consumption_pc_eur_lag1 (-0.29),51.78947368421053,1.6842105263157894,29.68421052631579,6.315789473684211,6.1,1.212,2.1666666666666665,-2.8292208581499927
HU,Hungary,33.4,37.65247416025016,-17.347525839749842,0.9997621769469346,1,high-gap high-risk,circular-capacity/resource constraint,circular_material_use_rate_lag1 (-0.65); landfill_rate_trend_3y (-0.63); population_density_lag1 (-0.23),54.31235431235432,12.354312354312354,19.34731934731935,13.986013986013988,6.8,1.1054,0.4666666666666662,0.0417207313759059
SE,Sweden,39.4,40.849425896138605,-14.150574103861397,0.9978153079775054,1,high-risk near target,waste-generation and socioeconomic context,incineration_rate_proxy_lag1 (-0.48); household_consumption_pc_eur_lag1 (-0.37); recycling_rate_trend_3y (-0.33),1.020408163265306,58.67346938775511,20.1530612244898,19.132653061224488,10.1,2.1983,0.3666666666666671,0.1854570134318228
FR,France,40.3,41.80807684753084,-13.191923152469164,0.9960591373377388,1,high-risk near target,waste-generation and socioeconomic context,household_consumption_pc_eur_lag1 (-0.45); environmental_tax_gdp_lag1 (-0.40); recycling_rate_trend_3y (-0.36),21.25237191650854,32.82732447817837,21.062618595825427,18.40607210626186,16.9,3.0175,0.3333333333333333,-0.968310484759326
FI,Finland,44.8,42.11863018278476,-12.881369817215235,0.995264172339614,1,high-risk near target,incineration/pathway pressure,circular_material_use_rate_lag1 (-1.38); incineration_rate_trend_3y (-1.25); recycling_rate_trend_3y (-0.36),0.4273504273504273,54.7008547008547,28.846153846153847,15.811965811965813,2.6,1.0229,0.8999999999999986,-0.0217534700293321
PL,Poland,27.6,42.27189122282958,-12.72810877717042,0.9948214641650388,1,high-risk near target,circular-capacity/resource constraint,circular_material_use_rate_lag1 (-0.83); household_consumption_pc_eur_lag1 (-0.20); resource_productivity_lag1 (-0.19),30.245231607629428,20.70844686648501,15.803814713896458,11.716621253405997,7.8,0.9048,-3.7000000000000006,-3.156351368885429
IE,Ireland,41.9,42.34887240191449,-12.651127598085507,0.9945854965779752,1,high-risk near target,waste-generation and socioeconomic context,population_density_lag1 (-1.64); environmental_tax_gdp_lag1 (-0.97); circular_material_use_rate_lag1 (-0.94),14.40677966101695,42.54237288135593,25.93220338983051,15.254237288135592,2.1,3.6309,0.3666666666666671,-0.5875883599854538
ES,Spain,43.3,44.971564327625785,-10.028435672374217,0.9783036685679228,1,high-risk near target,waste-generation and socioeconomic context,environmental_tax_gdp_lag1 (-1.00); population_density_lag1 (-0.49); recycling_rate_trend_3y (-0.41),46.76724137931034,9.913793103448276,22.198275862068964,20.905172413793103,8.2,2.9793,0.9666666666666662,-0.897600605744645
CZ,Czechia,43.5,45.67351175582142,-9.326488244178575,0.9698453454520528,0,high-risk near target,waste-generation and socioeconomic context,environmental_tax_gdp_lag1 (-1.06); recycling_rate_trend_3y (-0.39); household_consumption_pc_eur_lag1 (-0.21),42.37918215613383,14.12639405204461,28.438661710037174,15.055762081784389,13.6,1.3117,1.0,-1.7729306870591348
LT,Lithuania,49.3,47.19848850383354,-7.801511496166462,0.9419513190253898,1,high-risk near target,circular-capacity/resource constraint,circular_material_use_rate_lag1 (-0.41); household_consumption_pc_eur_lag1 (-0.26); resource_productivity_lag1 (-0.11),7.8475336322869955,40.35874439461883,24.66367713004484,23.99103139013453,4.1,0.8391,1.3333333333333333,-2.800822122571001
LV,Latvia,50.6,48.92189302253856,-6.078106977461445,0.8895695345080796,1,high-risk near target,circular-capacity/resource constraint,circular_material_use_rate_lag1 (-0.84); landfill_rate_trend_3y (-0.24); environmental_tax_gdp_lag1 (-0.21),,,25.62929061784897,22.42562929061785,6.0,1.0839,3.633333333333333,
SK,Slovakia,50.3,50.888826105817465,-4.111173894182535,0.796183355411642,1,high-risk near target,waste-generation and socioeconomic context,household_consumption_pc_eur_lag1 (-0.24); environmental_tax_gdp_lag1 (-0.22); incineration_rate_trend_3y (-0.10),38.771186440677965,7.627118644067797,32.6271186440678,17.584745762711865,10.6,1.5578,1.6666666666666667,-2.2785027066638293
DK,Denmark,46.6,52.544451266997385,-2.455548733002616,0.689556094754942,0,moderate-risk transition,waste-generation and socioeconomic context,household_consumption_pc_eur_lag1 (-0.34); incineration_rate_proxy_lag1 (-0.31); environmental_tax_gdp_lag1 (-0.23),1.844532279314888,50.98814229249012,26.877470355731223,19.104084321475625,9.3,2.3311,0.5333333333333338,0.328193806454676
IT,Italy,50.8,54.20426175903801,-0.7957382409619882,0.5636682679934198,0,moderate-risk transition,waste-generation and socioeconomic context,household_consumption_pc_eur_lag1 (-0.52); recycling_rate_trend_3y (-0.29); environmental_tax_gdp_lag1 (-0.26),15.950920245398772,19.222903885480573,29.856850715746425,20.858895705521476,21.1,3.7101,-0.2000000000000004,-1.3907610133407242
BE,Belgium,55.8,56.57768147827596,1.5776814782759558,0.3753282096248231,0,stable achiever,incineration/pathway pressure,incineration_rate_trend_3y (-0.60); environmental_tax_gdp_lag1 (-0.23); household_consumption_pc_eur_lag1 (-0.22),0.1453488372093023,44.0406976744186,33.575581395348834,20.78488372093023,21.8,3.2738,1.466666666666666,-0.0429998617624227
LU,Luxembourg,56.5,57.34586919178805,2.3458691917880543,0.3182846092945142,0,stable achiever,waste-generation and socioeconomic context,environmental_tax_gdp_lag1 (-0.79); incineration_rate_trend_3y (-0.50); household_consumption_pc_eur_lag1 (-0.21),2.9247910863509747,40.66852367688022,31.615598885793872,24.79108635097493,10.1,4.4112,1.2333333333333345,-0.3330865155201392
NL,Netherlands,57.9,59.20243202999473,4.202432029994732,0.1986517792806771,0,stable achiever,waste-generation and socioeconomic context,household_consumption_pc_eur_lag1 (-0.34); recycling_rate_trend_3y (-0.24); landfill_rate_trend_3y (-0.17),1.5053763440860215,40.64516129032258,27.741935483870968,30.107526881720432,32.0,5.8084,0.2999999999999995,0.0640185061900247
SI,Slovenia,59.8,62.71269454664204,7.712694546642041,0.060154500305361,0,stable achiever,waste-generation and socioeconomic context,population_density_lag1 (-0.38); household_consumption_pc_eur_lag1 (-0.20); recycling_rate_trend_3y (-0.19),9.477756286266924,13.346228239845262,44.680851063829785,14.893617021276595,9.9,1.5732,0.1666666666666666,0.9005251960383246
AT,Austria,62.8,64.22389804232729,9.223898042327292,0.0315943086496044,0,stable achiever,waste-generation and socioeconomic context,household_consumption_pc_eur_lag1 (-0.39); recycling_rate_trend_3y (-0.19); landfill_rate_trend_3y (-0.15),1.7902813299232736,35.42199488491048,40.79283887468031,21.48337595907928,14.2,2.5435,0.1666666666666666,-0.0027599403852876
DE,Germany,68.7,67.96021734380676,12.96021734380676,0.0045214885564168,0,stable achiever,waste-generation and socioeconomic context,household_consumption_pc_eur_lag1 (-0.31); recycling_rate_trend_3y (-0.26); landfill_rate_trend_3y (-0.22),0.9787928221859706,30.34257748776509,46.00326264274062,22.512234910277325,14.5,3.2497,-0.5333333333333314,0.0662538736459735
